Date,MarketReturn
19300305,1.890972998
19300306,1.906157511
19300307,1.908120853
19300308,1.910658654
19300310,1.919505004
19300311,1.923209648
19300312,1.907881667
19300313,1.915952007
19300314,1.903172607
19300315,1.894094474
19300317,1.918963934
19300318,1.937827349
19300319,1.943892749
19300320,1.954642476
19300321,1.965451649
19300322,1.948411183
19300324,1.967174383
19300325,1.968020268
19300326,1.987759511
19300327,1.984638729
19300328,2.002163089
19300329,2.019041323
19300331,2.024957114
19300401,2.040529035
19300402,2.020919551
19300403,2.026557916
19300404,2.048019165
19300405,2.058443582
19300407,2.058011309
19300408,2.045025258
19300409,2.071590136
19300410,2.073019533
19300411,2.065535932
19300412,2.065721831
19300414,2.060950013
19300415,2.060723309
19300416,2.045865494
19300417,2.056278949
19300421,2.02561983
19300422,2.035119987
19300423,2.043240116
19300424,2.026056466
19300425,2.022186698
19300426,2.022975351
19300428,1.980674937
19300429,1.971742093
19300430,1.987299138
19300501,1.948745534
19300502,1.901001269
19300503,1.840549428
19300505,1.83723644
19300506,1.895109387
19300507,1.878053403
19300508,1.882372926
19300509,1.901008418
19300510,1.927432435
19300512,1.927432435
19300513,1.947670475
19300514,1.958966964
19300515,1.934479877
19300516,1.944539172
19300517,1.945316988
19300519,1.909717687
19300520,1.912391292
19300521,1.905889161
19300522,1.909129173
19300523,1.928220465
19300524,1.939404143
19300526,1.941925369
19300527,1.943867294
19300528,1.95067083
19300529,1.960424184
19300602,1.957307109
19300603,1.941472495
19300604,1.947316327
19300605,1.920073372
19300606,1.892059501
19300607,1.858021351
19300609,1.803042499
19300610,1.84254716
19300611,1.783788331
19300612,1.775065606
19300613,1.787686323
19300614,1.75624092
19300616,1.661948345
19300617,1.658973458
19300618,1.602419053
19300619,1.671018612
19300620,1.641959599
19300621,1.599285069
19300623,1.620251696
19300624,1.578303379
19300625,1.580528787
19300626,1.615474279
19300627,1.601597355
19300628,1.607058802
19300630,1.647412048
19300701,1.636176698
19300702,1.650542329
19300703,1.635159275
19300707,1.607165348
19300708,1.613240433
19300709,1.634986914
19300710,1.670269932
19300711,1.655371124
19300712,1.681161806
19300714,1.71340649
19300715,1.721253891
19300716,1.733268243
19300717,1.743633188
19300718,1.756152474
19300719,1.742068131
19300721,1.697610552
19300722,1.722531475
19300723,1.746784718
19300724,1.729631292
19300725,1.738244856
19300726,1.754201944
19300728,1.760306567
19300729,1.746893031
19300730,1.706854242
19300731,1.716037118
19300801,1.708211989
19300802,1.715967271
19300804,1.738515081
19300805,1.736498404
19300806,1.712777836
19300807,1.700343069
19300808,1.636308149
19300809,1.633591877
19300811,1.647379393
19300812,1.610214513
19300813,1.624287788
19300814,1.630849911
19300815,1.665978418
19300816,1.666211655
19300818,1.659946699
19300819,1.673126676
19300820,1.68189386
19300821,1.671701583
19300822,1.673774493
19300823,1.682545071
19300825,1.669488522
19300826,1.688921368
19300827,1.6981091
19300828,1.696309105
19300829,1.719786023
19300902,1.720800696
19300903,1.704607962
19300904,1.695045111
19300905,1.717402756
19300906,1.737822675
19300908,1.739890684
19300909,1.747180826
19300910,1.753977359
19300911,1.737121637
19300912,1.730155779
19300913,1.728062291
19300915,1.707135456
19300916,1.710191229
19300917,1.714620624
19300918,1.695742651
19300919,1.668593811
19300920,1.672915469
19300922,1.630908562
19300923,1.64557043
19300924,1.621528646
19300925,1.58924401
19300926,1.565548382
19300927,1.555513217
19300929,1.524231846
19300930,1.500895857
19301001,1.557674747
19301002,1.541677427
19301003,1.561919652
19301004,1.548377808
19301006,1.503521303
19301007,1.500409014
19301008,1.485900059
19301009,1.428143124
19301010,1.455177873
19301011,1.424808311
19301014,1.438101772
19301015,1.463455507
19301016,1.442718342
19301017,1.39053522
19301018,1.374724834
19301020,1.413808261
19301021,1.380060658
19301022,1.36850955
19301023,1.381414595
19301024,1.420273788
19301025,1.418043958
19301027,1.424751306
19301028,1.433627507
19301029,1.414889995
19301030,1.398802696
19301031,1.371148367
19301101,1.374932736
19301103,1.379002537
19301105,1.342955411
19301106,1.342498806
19301107,1.298813895
19301108,1.283435938
19301110,1.2583576
19301111,1.270387499
19301112,1.291298077
19301113,1.322366709
19301114,1.354579562
19301115,1.36834209
19301117,1.329973778
19301118,1.339230395
19301119,1.365157896
19301120,1.362919037
19301121,1.380582468
19301122,1.367687827
19301124,1.369958189
19301125,1.355244838
19301126,1.33648825
19301128,1.320263282
19301129,1.333017026
19301201,1.349079881
19301202,1.35953525
19301203,1.342473082
19301204,1.320926389
19301205,1.322049177
19301206,1.308101558
19301208,1.289461111
19301209,1.287849284
19301210,1.265762669
19301211,1.253548059
19301212,1.240072418
19301213,1.208884596
19301215,1.202417064
19301216,1.16412008
19301217,1.208764085
19301218,1.22308794
19301219,1.239416164
19301220,1.240841492
19301222,1.202685617
19301223,1.206594345
19301224,1.221133807
19301226,1.198970228
19301227,1.190157797
19301229,1.187122895
19301230,1.210924709
19301231,1.23084442
19310102,1.273874741
19310103,1.297135694
19310105,1.286836436
19310106,1.306344877
19310107,1.30707643
19310108,1.315650851
19310109,1.308756841
19310110,1.314332145
19310112,1.291935925
19310113,1.277802146
19310114,1.286312308
19310115,1.260920503
19310116,1.275748929
19310117,1.270339753
19310119,1.262793935
19310120,1.287241626
19310121,1.287962481
19310122,1.309935121
19310123,1.333199569
19310124,1.323147244
19310126,1.332620978
19310127,1.326837403
19310128,1.301309051
19310129,1.315181006
19310130,1.318416351
19310131,1.310584958
19310202,1.314542925
19310203,1.319695933
19310204,1.325792928
19310205,1.318262424
19310206,1.322375403
19310207,1.339724968
19310209,1.372441052
19310210,1.392368896
19310211,1.400194009
19310213,1.397001567
19310214,1.394794304
19310216,1.41211765
19310217,1.391528974
19310218,1.401436661
19310219,1.417581211
19310220,1.437880974
19310221,1.45617082
19310224,1.473965227
19310225,1.459255054
19310226,1.471250131
19310227,1.46348193
19310228,1.45458396
19310302,1.426874136
19310303,1.423092919
19310304,1.408790835
19310305,1.431824566
19310306,1.407125592
19310307,1.429709958
19310309,1.437358906
19310310,1.436137151
19310311,1.419836994
19310312,1.412240866
19310313,1.404544153
